epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,2266.57,0.33618,0.27426,0.94944,0.98891,0.96875,0.97385,0.95088,0.24217,0.20219,0.88652,0.0004985,0.0004985,0.0004985
93,2290.18,0.34737,0.25987,0.95099,0.98799,0.96875,0.97457,0.95174,0.25757,0.22708,0.8878,0.000482,0.000482,0.000482
94,2314.58,0.34003,0.25467,0.95064,0.98862,0.96875,0.97522,0.94991,0.26967,0.23019,0.90574,0.0004655,0.0004655,0.0004655
95,2338.81,0.37076,0.31172,0.97334,0.98735,0.96875,0.97459,0.94823,0.26081,0.24369,0.89983,0.000449,0.000449,0.000449
96,2362.59,0.34052,0.2672,0.95754,0.99913,0.96875,0.97142,0.95034,0.24689,0.21302,0.89063,0.0004325,0.0004325,0.0004325
97,2386.73,0.32873,0.2509,0.93944,0.98931,0.96875,0.97487,0.9544,0.24833,0.22158,0.90188,0.000416,0.000416,0.000416
98,2410.33,0.34396,0.25219,0.95542,0.98759,0.96875,0.96975,0.94348,0.24994,0.22397,0.90502,0.0003995,0.0003995,0.0003995
99,2434.75,0.33379,0.25113,0.9454,0.98866,0.96875,0.97221,0.94875,0.23451,0.18343,0.89632,0.000383,0.000383,0.000383
100,2458.9,0.32887,0.24561,0.94755,0.9888,0.96875,0.97169,0.95492,0.23265,0.18781,0.88864,0.0003665,0.0003665,0.0003665
101,2482.64,0.32475,0.23931,0.9451,0.98875,0.96875,0.97352,0.95038,0.2458,0.19027,0.89908,0.00035,0.00035,0.00035
102,2507.48,0.3408,0.24794,0.95469,0.99928,0.96875,0.97319,0.95954,0.23488,0.1904,0.88322,0.0003335,0.0003335,0.0003335
103,2532.7,0.33063,0.24749,0.95285,0.98869,0.96875,0.97365,0.95617,0.2395,0.1912,0.90032,0.000317,0.000317,0.000317
104,2557.18,0.3293,0.24808,0.94989,0.99926,0.96875,0.97342,0.9541,0.2396,0.19916,0.90488,0.0003005,0.0003005,0.0003005
105,2581.18,0.32716,0.24929,0.94685,0.99916,0.96875,0.96867,0.94819,0.22777,0.20072,0.88421,0.000284,0.000284,0.000284
106,2605.06,0.327,0.24451,0.94702,0.99958,0.96875,0.96969,0.95335,0.22135,0.19087,0.87507,0.0002675,0.0002675,0.0002675
107,2629.24,0.32244,0.23829,0.94593,1,0.96573,0.96927,0.95427,0.22395,0.17936,0.8783,0.000251,0.000251,0.000251
108,2652.82,0.3138,0.23342,0.94421,0.98877,0.96875,0.9694,0.95552,0.2237,0.188,0.88044,0.0002345,0.0002345,0.0002345
109,2677.33,0.33189,0.2432,0.95093,1,0.96584,0.97099,0.95671,0.21659,0.18131,0.87632,0.000218,0.000218,0.000218
110,2701.57,0.32336,0.2443,0.94145,0.98863,0.96875,0.97173,0.95531,0.21288,0.18528,0.86337,0.0002015,0.0002015,0.0002015
111,2740.63,0.16025,0.15658,0.86076,0.9885,0.96875,0.97161,0.94871,0.22649,0.1902,0.88,0.000185,0.000185,0.000185
112,2764.23,0.14791,0.13986,0.83787,0.98841,0.96875,0.97481,0.95314,0.22277,0.17961,0.90174,0.0001685,0.0001685,0.0001685
113,2788.17,0.14326,0.14435,0.85396,0.99749,0.96875,0.97498,0.95328,0.23315,0.18976,0.90298,0.000152,0.000152,0.000152
114,2812.32,0.14393,0.13805,0.83903,0.99537,0.96875,0.97576,0.95287,0.22907,0.18457,0.90346,0.0001355,0.0001355,0.0001355
115,2836.1,0.13728,0.13176,0.83463,0.99704,0.96875,0.97563,0.95536,0.22292,0.17696,0.89907,0.000119,0.000119,0.000119
116,2860.6,0.13455,0.12584,0.82749,0.99641,0.96875,0.9742,0.95358,0.21918,0.16825,0.90104,0.0001025,0.0001025,0.0001025
117,2884.36,0.1307,0.12217,0.83733,0.98891,0.96875,0.97522,0.95501,0.221,0.17379,0.89539,8.6e-05,8.6e-05,8.6e-05
118,2908.34,0.12843,0.12217,0.83449,0.99859,0.96875,0.97803,0.95871,0.22173,0.17,0.89725,6.95e-05,6.95e-05,6.95e-05
119,2932.35,0.12948,0.11783,0.83277,1,0.96606,0.97766,0.95925,0.22015,0.17211,0.89412,5.3e-05,5.3e-05,5.3e-05
120,2957.54,0.12719,0.11673,0.83225,0.99692,0.96875,0.97775,0.95933,0.2161,0.17029,0.8931,3.65e-05,3.65e-05,3.65e-05
